ID_HH,ID_HS,car_numb,car_a_numb,car_b_numb,car_c_numb,car_1,car_2,car_3,car_a6_r,car_a7,car_a8,car_a10,car_a11,car_a12_r,car_a13_g,car_a15_r,car_a17,car_a20_r,car_a27,car_a28,car_a29,car_a31_r,car_a32,car_a33,car_a34_r,car_a35,car_a36,car_b6_r,car_b7,car_b8,car_b10,car_b11,car_b12_r,car_b13_g,car_b15_r,car_b17,car_b20_r,car_b27,car_b28,car_b29,car_b31_r,car_b32,car_b33,car_b34_r,car_b35,car_b36
HH17210019,HS2105000081,0,0,0,0,-7,-7,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17210020,HS2105000082,0,0,0,0,-7,-7,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17210021,HS2105000084,1,1,0,0,2,-7,0,1,2019,12,2008,2,3,2,5,2,13870,0,0,100,10,4,1,25,1339,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17210023,HS2105000090,1,1,0,0,2,-7,0,1,2012,6,2001,2,3,1,5,1,15300,70,0,30,12,4,1,20,1299,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17210024,HS2105000092,1,1,0,0,2,-7,0,2,2019,4,2019,1,1,3,5,1,15233,50,50,0,11,4,1,25,1398,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17210027,HS2105010031,0,0,0,0,-7,-7,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17210029,HS2111010036,0,0,0,0,-7,-7,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17210030,HS2108010024,1,1,0,0,2,-7,0,1,-8,-8,-8,1,1,2,5,1,11952,80,0,20,10,4,1,25,1139,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17210031,HS2107000016,1,1,0,0,2,-7,0,2,2015,1,2015,1,2,1,5,1,16000,80,0,20,13,4,1,31,1260,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17210032,HS2114010032,1,1,0,0,2,-7,0,2,2009,1,2009,1,2,2,5,1,14900,20,70,10,11,3,1,22,1355,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17210033,HS2111000018,1,1,0,0,1,3,0,2,2007,1,2007,1,2,2,9,1,12626,50,40,10,13,4,1,22,971,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17210034,HS2113000005,1,1,0,0,2,-7,0,1,2005,4,2005,1,1,1,5,1,12000,60,10,30,12,4,2,15,1000,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17210036,HS2113010011,1,1,0,0,2,-7,0,1,2017,3,2017,1,1,2,5,1,13000,60,10,30,11,3,1,15,1182,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17210037,HS2114000011,1,1,0,0,2,-7,0,1,2013,1,2013,1,1,1,5,1,7000,0,0,100,12,4,2,11,588,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17210039,HS2115000009,1,1,0,0,1,2,0,2,2004,6,2004,1,2,2,5,1,12626,80,0,20,10,4,1,20,1263,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17220001,HS2201000006,2,2,0,0,2,-7,0,1,2007,11,2007,1,1,1,5,1,15000,0,0,100,12,1,2,6,1259,-7,1,2017,1,2017,1,1,2,5,1,16000,0,0,100,10,4,2,20,1525,-7
HH17220003,HS2202000017,1,1,0,0,2,-7,0,1,2008,10,2008,1,1,1,5,1,10797,50,40,10,12,4,1,25,906,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17220004,HS2204000001,1,1,0,0,2,-7,0,1,2013,5,2010,2,1,3,5,1,13200,30,50,20,9,4,1,40,1400,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17220007,HS2206000017,1,1,0,0,2,-7,0,1,2007,1,2007,1,1,2,5,1,11952,50,50,0,10,2,2,5,1139,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17220008,HS2207000032,0,0,0,0,-7,-7,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17220014,HS2204000023,0,0,0,0,-7,-7,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17220015,HS2204000024,1,1,0,0,1,1,0,2,2017,11,2017,1,2,2,5,1,18400,60,0,40,12,1,1,4,1533,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17230003,HS2303000017,0,0,0,0,-7,-7,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
