"","가구ID","광역시도","주택종류","외벽수","주택방향","준공년도","난방기기","난방연료","취사설비","냉방만족도","난방만족도","가구원수","교육정도","출생년도","세후소득","연도","전기소비량","지역난방소비량","도시가스소비량","등유소비량","프로판소비량","기타석유소비량","연탄소비량","기타연료소비량","석유소비량"
"161","HH13110261",11,4,4,2,2002,5,4,2,3,2,5,3,1980,-9,2019,4040.28,0,11658.57,0,0,0,0,0,0
"162","HH13110264",11,6,3,3,2010,5,4,2,3,3,3,3,1980,-9,2019,3580.18,0,2870.91,0,0,0,0,0,0
"163","HH18110082",11,4,4,5,2014,5,4,2,2,2,5,2,1974,2800,2019,4058.34,0,9981.3,0,0,0,0,0,0
"164","HH19110137",11,4,3,1,2009,5,4,2,3,3,3,2,1971,5600,2019,2772.64,0,9744.63,0,0,0,0,0,0
"165","HH19110138",11,6,2,3,2005,5,4,2,3,3,2,2,1948,7200,2019,2709,0,11576.25,0,0,0,0,0,0
"166","HH19110139",11,6,3,5,2012,5,4,2,3,3,5,3,1965,7800,2019,4962.2,0,11226.39,0,0,0,0,0,0
"167","HH19110140",11,6,3,1,1990,5,4,4,2,2,4,2,1966,8900,2019,5897.88,0,15167.46,0,0,0,0,0,0
"168","HH19110141",11,6,3,3,2007,5,4,2,3,3,4,3,1980,6700,2019,3606.84,0,8458.38,0,0,0,0,0,0
"169","HH19110142",11,6,3,3,2000,5,4,2,3,3,4,3,1966,8200,2019,3201.78,0,14323.68,0,0,0,0,0,0
"170","HH19110143",11,6,3,3,2006,5,4,2,3,3,2,1,1962,6800,2019,2462.18,0,3426.57,0,0,0,0,0,0
"171","HH19110144",11,6,2,2,1996,5,4,2,3,3,3,2,1955,4434,2019,2483.68,0,4527.6,0,0,0,0,0,0
"172","HH19110146",11,6,2,1,1994,5,4,2,3,3,4,3,1970,7120,2019,2913.68,0,13377,0,0,0,0,0,0
"173","HH19110148",11,6,3,3,1996,1,5,4,3,3,4,3,1968,5900,2019,2483.68,5421,0,0,0,0,0,0,0
"174","HH19110149",11,6,2,2,1997,1,5,2,3,3,3,2,1960,6780,2019,4008.46,6708,7367.64,0,0,0,0,0,0
"175","HH19110150",11,2,4,3,1990,5,4,2,3,3,2,1,1945,2230,2019,3493.32,0,7295.61,0,0,0,0,0,0
"176","HH19110151",11,2,4,3,1991,5,4,2,3,4,3,1,1956,4650,2019,3795.18,0,10825.08,0,0,0,0,0,0
"177","HH19110153",11,4,3,3,2000,5,4,2,3,3,2,1,1943,3750,2019,3324.76,0,9631.44,0,0,0,0,0,0
"178","HH19110154",11,2,3,2,1992,5,4,2,3,3,2,-9,1957,3250,2019,3128.68,0,7295.61,0,0,0,0,0,0
"179","HH19110156",11,5,3,5,2002,5,4,2,3,3,3,1,1953,4100,2019,2756.3,0,6997.2,0,0,0,0,0,0
"180","HH19110157",11,2,4,7,1992,5,4,2,3,3,4,2,1967,7200,2019,3683.38,0,12759.6,0,0,0,0,0,0
"181","HH19110158",11,5,3,5,2015,5,4,2,3,3,4,2,1965,8200,2019,3074.5,0,11133.78,0,0,0,0,0,0
"182","HH19110159",11,5,3,5,2013,5,4,2,3,3,3,1,1938,5980,2019,2854.34,0,9600.57,0,0,0,0,0,0
"183","HH18110238",11,6,3,3,1990,5,4,2,3,3,5,3,1964,540,2019,3292.08,0,18357.36,0,0,0,0,0,0
"184","HH13110179",11,2,5,3,2008,5,4,2,2,2,4,2,1955,3500,2019,1454.26,0,14508.9,0,0,0,0,0,0
"185","HH13110180",11,1,4,3,2005,5,4,2,2,2,4,2,1957,6700,2019,3696.28,0,9096.36,0,0,0,0,0,0
"186","HH12110015",11,2,4,6,1968,5,4,2,2,2,4,2,1955,5700,2019,3937.08,0,8962.59,0,0,0,0,0,0
"187","HH14110034",11,6,5,3,1971,5,4,0,2,2,2,2,1957,1300,2019,2257.5,0,5875.59,0,0,0,0,0,0
"188","HH13110194",11,6,2,3,2002,5,4,0,2,2,4,3,1963,4800,2019,3838.18,0,10012.17,0,0,0,0,0,0
"189","HH14110038",11,1,6,1,1985,3,2,1,2,2,1,1,1949,1150,2019,1657.22,0,0,31572,2889.6,0,0,0,34461.6
